Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
107,107,SAT-F.106,60,pramAthi,stirring or agitating action,kind of eliminative therapeutic action which breaks the amalgamation of impaired do?a and removes them out of body,
108,108,SAT-F.107,60,UrjaskaraH,therapy to enhance ojas,therapeutic measures or medicines which are used to enhance ojas,
109,109,SAT-F.108,60,jIvanIyaH,vitalization/vitalizers,therapy or medicines which increase vitality,
110,110,SAT-F.109,60,tarpaNam,satiating,substances that has the ability to produce satiating effect,
111,111,SAT-F.110,60,balya,"strength, stamina and immunity promoter","tonic or beneficial for strength, stamina and immunity",
112,112,SAT-F.111,60,SramaharaH,fatigue relieving/energy providing,substances having the property of relieving generalized fatigue,
113,113,SAT-F.112,60,bRuMhaNIya,anabolic/bulk promoting,promoters of tissue growth,
114,114,SAT-F.113,60,saumanasyajananaH,substances which are pleasing to mind,substances that cause gladness or cheerfulness of mind,
115,115,SAT-F.114,60,rukShaNam,dryness inducing,dravya which induce dryness�,
116,116,SAT-F.115,60,a~ggamardapraSamanaH,bodyache relieving,drugs which relieve generalized body ache,
117,117,SAT-F.116,60,viShyandaH,liquefication,�caused due to jala mah?bh?ta predominance,
118,118,SAT-F.117,60,aBiShyandi,srotas-obstructing dravya,dravya which cause obstruction to srotas due to its picchila and guru properties such as curd,
119,119,SAT-F.118,60,upakledaH,wet / moistening;,�an action attributed to jala mah?bh?ta,
120,120,SAT-F.119,60,upacayaH,anabolism/growth,an action attributed to p?thv? mah?bh?ta,
121,121,SAT-F.120,60,upaSoShaNam,drying up,action of drying up; an attribute of v?yu mah?bh?ta,
122,122,SAT-F.121,60,CardinigrahaNam,anti-emetics,substances having the anti emetic property,
123,123,SAT-F.122,60,purIShavirajanIyaH,substances imparting normal fecal colour,�substances used for imparting normal colour to the faecal matter,
124,124,SAT-F.123,60,purIShasa~ggrahaNIyaH,substances imparting solidity to fecal matter,substances used to solidify faecal matter,
125,125,SAT-F.124,60,yogavAhI,carrier of properties,"one that takes the properties of other substances along with its own; vehicle for drug action; substances that when administered with/after the drug work in harmony with the drug to facilitate the purported action of the drug; eg honey, warm water, etc",
126,126,SAT-F.125,60,vraNa-ropaNaH,substances facilitating wound healing,substances having property of causing healing of wounds,
127,127,SAT-F.126,60,romaSAtanadravyam,hair removing subtances,substances causing falling of hair when applied,
128,128,SAT-F.127,60,vidAhI,substances that produces burning sensation,"substances that produces belching,thirst, burning sensation and are difficult to digest",
129,129,SAT-F.128,60,vRuttikara,life sustaining,dravya which helps in the sustenance of life,
130,130,SAT-F.129,60,AyuShya,life span enhancers,life sustaining or enhancing dravya,
131,131,SAT-F.130,60,vRuddhiH,"growth, increase; gain",state of gain of any body constituent resulting in a positive balance,
132,132,SAT-F.131,60,vRuShya,eugenics/aphrodisiacs,substances that enhance the sexual power like that of bull,
133,133,SAT-F.132,60,SItapraSamanam,cold pacifying substances,�substances pacifies feeling of cold and chill,
134,134,SAT-F.133,60,SuklavargaH,group of five white substances,group of five substances having white colour which contain natural calcium,
135,135,SAT-F.134,60,SuShkaH,dryness,"dryness of dravya due to p?thv?, v?yu and agni predominance",
136,136,SAT-F.135,60,SUlapraSamanam,analgesic,�substances relieving pain,
137,137,SAT-F.136,60,SoNitasthApanam,substances which normalize blood,substances that restore the normal properties of blood or arrest bleeding,
138,138,SAT-F.137,60,SothaharaH,susbstances reducing inflammation and swelling,substances which have the property of reducing swelling and inflammation,
139,139,SAT-F.138,60,vraNa-Sodhanam,wound cleansing substances,substances having the property of cleansing the wounds,
140,140,SAT-F.139,60,SvAsaharaH,substances which removes breathing difficulty,substances having the ability to reduce difficulty in breathing and thus restores normal breathing,
141,141,SAT-F.140,60,saMj~jA-sthApanam,substances that restore consciousness,substances having the ability to preserve the consciousness of a person,
142,142,SAT-F.141,60,saMvejanam,horripilation causing substances,dravya which has the ability to induce horrripilation,
